Brand,Model,Version Name,Price,Price Numeric (DT),Original Price,Original Price Numeric (DT),Is Promo,Status,URL,Image URL,Carrosserie,Nombre de portes,Garantie,Nombre de places,Disponibilité,Voiture populaire,Puissance (ch.din),Puissance fiscale,Couple,Energie,Nombre de cylindres,Cylindrée,Batterie,Nombre de moteurs électriques,Puissance électrique,Puissance thermique (ch.din),Type de batterie,Couple électrique,Puissance avec overboost (ch.din),Système antipollution,Transmission,Boîte,Nombre de rapports,Différentiel autobloquant,4 roues directrices,Hauteur,Largeur,Longueur,Volume du coffre,Volume du coffre maximal,Charge utile,Volume du coffre avant,Volume utile,Surface de chargement,Vitesse maxi,0-100 Km/h,Autonomie électrique (WLTP),Autonomie électrique (NEDC),Consommation mixte,Consommation urbaine,Consommation extra-urbaine,Temps de recharge normale (AC),Consommation électrique (WLTP),Temps de recharge rapide (DC),Emissions de CO2,Capacité de recharge maximale (AC),Direction assistée,Aide au stationnement,Régulateur de vitesse,Aide au démarrage en côte,Détecteur de fatigue,Limiteur de vitesse,Assistant de feux de route,Aide au maintien dans la voie,Surveillance d’angle mort,Système de descente en côte,Alerte de circulation transversale,Reconnaissance des panneaux,Conduite autonome,Détection des piétons,Contrôle de stabilité anti-retournement,Contrôle du roulis de la remorque,Caméra d'angle mort,Autoradio,Connectivité,Ecran central,Navigation,Connected Drive,Ecran passager,Sellerie,Climatisation,Jantes,Fermeture centralisée,ABS,Vitres électriques,Airbags,Anti-démarrage électronique,Rétroviseurs extérieurs,Volant réglable,Anti-patinage,Tapis de sol,Ordinateur de bord,Volant,Feux à LED,Sièges réglables en hauteur,Accoudoirs,Allumage automatique des feux,Phares,Fixations ISOFIX,Contrôle de pression des pneus,Assistance au freinage,Bouton Start & Stop,Clé intelligente,Instrumentation digitale,Frein de stationnement,Sièges,Détecteur de pluie,Vitres,Eléments extérieurs couleur carrosserie,Rétroviseur intérieur,Modes de conduite,Lumières d'ambiance,Alarme antivol,Alimentation électrique,Toit,Appuis têtes arrières,Antibrouillards,Kit rangement,Coffre à bagages,Baguettes extérieures d'encadrement des vitres,Peinture,Barres de toit,Alerte de franchissement de ligne,Calandre,Finition intérieure,Système Start & Stop,Alerte de risque de collision,Kit sécurité,Pommeau de levier de vitesse,Spoiler arrière,Boulons de roues protégés,Kit carrosserie,Seuils de portes,Version pays chauds,Kit éclairage,Affichage tête haute,Kit fumeurs,Ciel de pavillon,Poignées de portes,Tableau de bord,Suspension,Pédaliers,Préparation pour téléphone,Train roulant,Marchepieds latéraux,Pneumatiques runflat,Freinage,Barre stabilisatrice,Lave Phares,Boîte à gants réfrigérée,Arceau de benne,Fermeture assistée des portes,Caméra d'enregistrement de conduite,Cloison entre cabine et compartiment arrière,Sorties d’échappement,Pack aérodynamique M,Terrain Response,Pack Sport Chrono,Système de récupération d'énergie,Boule d'attelage,Capot moteur actif,Aileron arrière,DSC,Porte bagages,Capote éléctrique,Stores pare-soleil,Sideblades,Launch Control,Rideau de benne,Jupes latérales,Portes en élytre,Contrôle adaptatif de la charge,Dynamic Response
Skoda,Fabia,1.0 L MPI Essence,66 980 DT,66980,68.980 DT,68980,Oui,Promo,https://www.automobile.tn/fr/neuf/skoda/fabia/1.0-l-mpi-essence,https://catalogue.automobile.tn/max/2024/02/47102.png?t=1773943533,Citadine,5,3 ans,5,Disponible,,80 CH,4 CV,93 nm 3700 tr/min,Essence,3,999 CM³,,,,,,,,,Traction,Manuelle,5,,,1482 mm,1780 mm,4108 mm,380 L,,,,,,178 KM/H,15.5 s,,,5.1 L/100 km,6 L/100 km,4.3 L/100 km,,,,116 g/km,,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,SWING | 4 haut-parleurs,2 USB-C | Bluetooth,Tactile | 6.5 pouces,Non,Non,Non,Tissu,Manuelle,14'',À distance,Oui,Avant,Frontaux,Oui,Électriques | Dégivrants,En hauteur et en profondeur,ESP,Oui,Oui,Multi-fonctions,Feux de jour,Conducteur,Avant,Oui,LED,Non,Non,Non,Non,Non,Non,Non,Non,Non,Athermiques,Pare-chocs | Poignées de portes | Rétroviseurs,Non,Non,Non,Non,Non,Non,3,Oui,Porte-lunettes,Non,Non,Non,Non,Non,Chromée,Non,Oui,Non,Non,Cuir,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Avant,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Skoda,Fabia,1.0 L MPI Selection,72 980 DT,72980,74.980 DT,74980,Oui,Promo,https://www.automobile.tn/fr/neuf/skoda/fabia/1.0-l-mpi-selection,https://catalogue.automobile.tn/max/2024/02/47102.png?t=1773943533,Citadine,5,3 ans,5,Disponible,,80 CH,4 CV,93 nm 3700 tr/min,Essence,3,999 CM³,,,,,,,,,Traction,Manuelle,5,,,1482 mm,1780 mm,4108 mm,380 L,,,,,,178 KM/H,15.5 s,,,5.1 L/100 km,6 L/100 km,4.3 L/100 km,,,,116 g/km,,Oui,Radar de recul,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,SWING | 4 haut-parleurs,2 USB-C | Bluetooth,Tactile | 6.5 pouces,Non,Non,Non,Tissu,Manuelle,En aluminium | 15'',À distance,Oui,Avant/Arrière,Frontaux | Latéraux,Oui,Électriques | Dégivrants,En hauteur et en profondeur,ESP,Oui,Oui,Cuir | Multi-fonctions,Feux de jour | Arrières,Conducteur et passager,Avant,Oui,LED,Non,Non,Non,Démarrage mains libres,Accès mains libres,Non,Non,Réglage lombaire,Non,Athermiques,Pare-chocs | Poignées de portes | Rétroviseurs,Non,Non,Non,Non,Non,Non,3,Oui,Porte-lunettes,Non,Non,Non,Non,Non,Chromée,Non,Oui,Non,Non,Cuir,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Avant,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Skoda,Fabia,1.0 L MPI Monte Carlo,87 980 DT,87980,,,Non,Normal,https://www.automobile.tn/fr/neuf/skoda/fabia/1.0-l-mpi-monte-carlo,https://catalogue.automobile.tn/max/2024/02/47102.png?t=1773943533,Citadine,5,3 ans,5,Disponible,,80 CH,4 CV,93 nm 3700 tr/min,Essence,3,999 CM³,,,,,,,,,Traction,Manuelle,5,,,1482 mm,1780 mm,4108 mm,380 L,,,,,,178 KM/H,15.5 s,,,5.1 L/100 km,6 L/100 km,4.3 L/100 km,,,,116 g/km,,Oui,Radar de recul,Oui,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,SWING | 6 haut-parleurs,2 USB-C | Bluetooth | SmartLink,Tactile | 8 pouces,Non,Non,Non,Tissu,Automatique,En aluminium | 16'',À distance,Oui,Avant/Arrière,Frontaux | Latéraux,Oui,Électriques | Dégivrants | Noirs,En hauteur et en profondeur,ESP,Oui,Oui,Cuir | Multi-fonctions | Sport,Feux de jour | Arrières,Conducteur et passager,Avant,Oui,LED,Non,Non,Non,Démarrage mains libres,Accès mains libres,Virtual Cockpit,Non,Réglage lombaire | Sport,Oui,Athermiques,Pare-chocs | Poignées de portes | Rétroviseurs,Anti-éblouissement,Non,Non,Non,Non,Panoramique,3,Oui,Porte-lunettes,Non,Non,Non,Non,Non,Noire,Non,Oui,Non,Non,Cuir,Oui,Non,Sport,Chromés,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Avant,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Skoda,Kushaq,1.0 TSI Ambition,77 980 DT,77980,78.980 DT,78980,Oui,Promo,https://www.automobile.tn/fr/neuf/skoda/kushaq/1.0-tsi-ambition,https://catalogue.automobile.tn/max/2023/04/46924.jpg?t=1776238287,SUV,5,3 ans,5,Disponible,,116 CH,6 CV,178 nm 1750 tr/min,Essence,3,999 CM³,,,,,,,,,Traction,Manuelle,6,,,1612 mm,1760 mm,4221 mm,385 L,,,,,,189 KM/H,10.8 s,,,5.2 L/100 km,6.7 L/100 km,4.5 L/100 km,,,,,,Oui,Radar de recul | Caméra de recul,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,6 haut-parleurs | Commandes au volant,2 USB-C | Android Auto | Apple Carplay | Bluetooth,Tactile | 10 pouces,Non,Non,Non,Tissu,Automatique,En aluminium | 16'',À distance,Oui,Avant/Arrière,Frontaux,Oui,Électriques | Rabattables,En hauteur et en profondeur,ESP,Non,Oui,Cuir | Multi-fonctions,Avant,Conducteur,Avant | Arrière,Oui,LED,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Athermiques,Pare-chocs | Rétroviseurs,Non,Non,Non,Non,1 prise 12 V,Non,3,Oui,Poches aumônières | Porte-lunettes,Non,Noir Brillant,Non,Oui,Non,Non,Non,Non,Non,Non,Cuir,Oui,Non,Non,Baguettes dans les baies de porte,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Skoda,Kushaq,1.0 TSI Ambition BVA,84 980 DT,84980,85.980 DT,85980,Oui,Promo,https://www.automobile.tn/fr/neuf/skoda/kushaq/1.0-tsi-bva-ambition,https://catalogue.automobile.tn/max/2023/04/46924.jpg?t=1776238287,SUV,5,3 ans,5,Disponible,,116 CH,7 CV,178 nm 1750 tr/min,Essence,3,999 CM³,,,,,,,,,Traction,Automatique,6,,,1612 mm,1760 mm,4221 mm,385 L,,,,,,189 KM/H,10.8 s,,,5.2 L/100 km,6.7 L/100 km,4.5 L/100 km,,,,,,Oui,Radar de recul | Caméra de recul,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,6 haut-parleurs | Commandes au volant,2 USB-C | Android Auto | Apple Carplay | Bluetooth,Tactile | 10 pouces,Non,Non,Non,Tissu,Automatique,En aluminium | 16'',À distance,Oui,Avant/Arrière,Frontaux,Oui,Électriques | Rabattables,En hauteur et en profondeur,ESP,Non,Oui,Cuir | Multi-fonctions | Avec palettes,Avant,Conducteur,Avant | Arrière,Oui,LED,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Athermiques,Pare-chocs | Rétroviseurs,Non,Non,Non,Non,1 prise 12 V,Non,3,Oui,Poches aumônières | Porte-lunettes,Non,Noir Brillant,Non,Oui,Non,Non,Non,Non,Non,Non,Cuir,Oui,Non,Non,Baguettes dans les baies de porte,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Skoda,Kushaq,1.0 TSI Style BVA,90 980 DT,90980,92.980 DT,92980,Oui,Promo,https://www.automobile.tn/fr/neuf/skoda/kushaq/1.0-tsi-bva-style,https://catalogue.automobile.tn/max/2023/04/46924.jpg?t=1776238287,SUV,5,3 ans,5,Disponible,,116 CH,7 CV,178 nm 1750 tr/min,Essence,3,999 CM³,,,,,,,,,Traction,Automatique,6,,,1612 mm,1760 mm,4221 mm,385 L,,,,,,189 KM/H,10.8 s,,,5.2 L/100 km,6.7 L/100 km,4.5 L/100 km,,,,,,Oui,Radar de recul | Caméra de recul,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,6 haut-parleurs | Commandes au volant | Subwoofer,2 USB-C | Android Auto | Apple Carplay | Bluetooth | Chargeur de téléphone sans fil,Tactile | 10 pouces,Non,Non,Non,Similicuir,Automatique,En aluminium | 17'',À distance,Oui,Avant/Arrière,Frontaux | Latéraux | Protège-tête,Oui,Électriques | Rabattables,En hauteur et en profondeur,ESP,Non,Oui,Cuir | Multi-fonctions | Avec palettes,Avant | Arrières,Conducteur,Avant | Arrière,Oui,LED,Oui,Oui,Non,Non,Accès mains libres,Oui,Non,Ventilés,Oui,Athermiques,Pare-chocs | Rétroviseurs,Anti-éblouissement,Non,Non,Non,1 prise 12 V,Ouvrant | En verre,3,Oui,Poches aumônières | Porte-lunettes,Non,Noir Brillant,Non,Oui,Non,Non,Non,Non,Non,Non,Cuir,Oui,Non,Non,Baguettes dans les baies de porte,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Skoda,Scala,1.0 L TSI Essence DSG,86 980 DT,86980,91.980 DT,91980,Oui,Promo,https://www.automobile.tn/fr/neuf/skoda/scala/1.0-l-tsi-dsg-essence,https://catalogue.automobile.tn/max/2024/05/47148.png?t=1768390040,Compacte,5,3 ans,5,Sur arrivage,,116 CH,6 CV,200 nm 2000 tr/min,Essence,3,999 CM³,,,,,,,,,Traction,Automatique,7,,,1514 mm,1793 mm,4362 mm,467 L,,,,,,202 KM/H,10.1 s,,,5.4 L/100 km,6.9 L/100 km,4.7 L/100 km,,,,,,Oui,Radar de recul,Oui,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,8 haut-parleurs,USB-C | Android Auto | Apple Carplay | Bluetooth | SmartLink,Tactile | 8.25 pouces,Non,Non,Non,Tissu,Manuelle,En aluminium | 16'',À distance,Oui,Avant/Arrière,Frontaux | Latéraux,Oui,Électriques | Dégivrants,Non,ESP,Oui,Oui,Multi-fonctions,Avant | Arrières,Conducteur et passager,Avant,Oui,LED,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Athermiques,Pare-chocs | Poignées de portes | Rétroviseurs,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Chromée,Non,Oui,Non,Non,Cuir,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Avant,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Skoda,Scala,1.0 L TSI Selection DSG,100 980 DT,100980,105.980 DT,105980,Oui,Promo,https://www.automobile.tn/fr/neuf/skoda/scala/1.0-l-tsi-dsg-selection,https://catalogue.automobile.tn/max/2024/05/47148.png?t=1768390040,Compacte,5,3 ans,5,Sur arrivage,,116 CH,6 CV,200 nm 2000 tr/min,Essence,3,999 CM³,,,,,,,,,Traction,Automatique,7,,,1514 mm,1793 mm,4362 mm,467 L,,,,,,202 KM/H,10.1 s,,,5.4 L/100 km,6.9 L/100 km,4.7 L/100 km,,,,,,Oui,Radar de recul | Radar avant | Caméra de recul,Oui,Oui,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,8 haut-parleurs,USB-C | Android Auto | Apple Carplay | Bluetooth | SmartLink | Chargeur de téléphone sans fil,Tactile | 8.25 pouces,Non,Non,Non,Tissu,Automatique,En aluminium | 17'',À distance,Oui,Avant/Arrière,Frontaux | Latéraux,Oui,Électriques | Rabattables | Dégivrants | Photosensibles,En hauteur et en profondeur,ESP,Oui,Oui,Cuir | Multi-fonctions | Avec palettes,Avant | Arrières | Clignotants à défilement,Conducteur et passager,Avant,Oui,Matrix LED,Oui,Oui,Non,Démarrage mains libres,Accès mains libres,10.25 pouces | Virtual Cockpit,Non,Réglage lombaire,Oui,Athermiques,Pare-chocs | Poignées de portes | Rétroviseurs,Anti-éblouissement,Normal | Sport | Eco,Non,Non,Non,Panoramique | En verre,Non,Oui,Non,Ouverture mains libres,Chrome,Non,Non,Non,Chromée,Non,Oui,Non,Non,Cuir,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Avant,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Skoda,Scala,1.0 L TSI Monte Carlo DSG,109 980 DT,109980,114.980 DT,114980,Oui,Promo,https://www.automobile.tn/fr/neuf/skoda/scala/1.0-l-tsi-dsg-monte-carlo,https://catalogue.automobile.tn/max/2024/05/47148.png?t=1768390040,Compacte,5,3 ans,5,Sur arrivage,,116 CH,6 CV,200 nm 2000 tr/min,Essence,3,999 CM³,,,,,,,,,Traction,Automatique,7,,,1514 mm,1793 mm,4362 mm,467 L,,,,,,202 KM/H,10.1 s,,,5.4 L/100 km,6.9 L/100 km,4.7 L/100 km,,,,,,Oui,Radar de recul | Radar avant | Caméra de recul,Oui,Oui,Oui,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,8 haut-parleurs,USB-C | Android Auto | Apple Carplay | Bluetooth | SmartLink | Chargeur de téléphone sans fil,Tactile | 8.25 pouces,Non,Non,Non,Tissu,Automatique,En aluminium | 17'',À distance,Oui,Avant/Arrière,Frontaux | Latéraux,Oui,Électriques | Rabattables | Dégivrants | Photosensibles | Noirs,En hauteur et en profondeur,ESP,Oui,Oui,Cuir | Multi-fonctions | Sport | Avec palettes,Avant | Arrières | Clignotants à défilement,Conducteur et passager,Avant,Oui,Matrix LED,Oui,Oui,Non,Démarrage mains libres,Accès mains libres,10.25 pouces | Virtual Cockpit,Non,Réglage lombaire | Sport,Oui,Athermiques,Pare-chocs | Poignées de portes,Anti-éblouissement,Normal | Sport | Eco,Oui,Anti-soulèvement,Non,Panoramique | En verre,Non,Oui,Non,Ouverture mains libres,Noir Brillant,Non,Non,Oui,Noire,Non,Oui,Non,Non,Cuir,Oui,Non,Monte-Carlo,Baguettes dans les baies de porte,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Avant,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Skoda,Kamiq,1.0 L TSI Essence DSG,89 980 DT,89980,94.980 DT,94980,Oui,Promo,https://www.automobile.tn/fr/neuf/skoda/kamiq/1.0-l-tsi-dsg-essence,https://catalogue.automobile.tn/max/2024/02/47105.png?t=1768390011,SUV,5,3 ans,5,Sur arrivage,,116 CH,6 CV,200 nm 2000 tr/min,Essence,3,999 CM³,,,,,,,,,Traction,Automatique,7,,,1562 mm,1793 mm,4241 mm,400 L,,,,,,195 KM/H,10.2 s,,,5.7 L/100 km,,,,,,,,Oui,Radar de recul,Oui,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,8 haut-parleurs,USB-C | Bluetooth | SmartLink,Tactile,Non,Non,Non,Tissu,Manuelle,En aluminium | 16'',À distance,Oui,Avant/Arrière,Frontaux | Latéraux,Oui,Électriques | Dégivrants,En hauteur et en profondeur,ESP,Non,Oui,Multi-fonctions,Avant | Arrières,Conducteur et passager,Avant,Oui,LED,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Athermiques,Poignées de portes | Rétroviseurs,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Noires,Non,Chromée,Non,Oui,Non,Non,Cuir,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Avant,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
