description,url,Couleur,price,Age,Couleur du véhicule,Puissance fiscale,Kilométrage,Cylindrée moto,Superficie,Etat du véhicule,title,Modèle,Boite,Etat,Marque,Genre,Année,Carburant,Type de transaction,Type de carrosserie,Salles de bains,Livraison,Chambres,Cylindrée
"Voiture d’une femme , bmw tres bien entretenue",https://www.tayara.tn/item/voitures/ben-arous/ezzahra/bmw-serie-3/6a14432b453ae0812f0a3254/,,45000,,Blanc,7,236,,,,Bmw serie 3,Serie 3,Automatique,,BMW,,2013,Essence,,Compacte,,,,
"لجميع المراسم والمناسبات وتنقلاتكم الخاصّة أضع على ذمتكم سائق مع سيارة فاخرة 

Une luxueuse Berline 
,Couleur présidentiel avec chauffeur 
> Aéroports/Hotels 
>tous types de cérémonies et fêtes de mariage... 
,pour toute la Tunisie 
,uniquement sur rendez-vous 
☎ :",https://www.tayara.tn/item/services/tunis/autres-villes/voiture-avec-chauffeur-aroportcrmoniesmariage/6a140d8a453ae0812f0a190d/,,0,,,,,,,,"🚫Voiture avec Chauffeur (Aéroport,cérémonies,mariage..)",,,,,,,,,,,,,
"Chevrolet Aveo Sedan – Modèle 2017
Je mets en vente une Chevrolet Aveo version Sedan (4 portes), année 2017. C'est une voiture de 2ème main, bien entretenue.
tout est en état de marche, y compris la climatisation manuelle, les vidanges faites en temps et en heure. Les 4 roues ont également été renouvelées récemment.
Une bonne opportunité pour ceux qui cherchent une voiture fiable, spacieuse et prête à rouler sans frais cachés.
📞 Tel :
📍 Disponible à : Tunis, banlieue sud",https://www.tayara.tn/item/voitures/tunis/tunis/chevrolet-aveo-vendre/6a140b532257200009cc616e/,,24500,,Noir,5,319000,,,,Chevrolet Aveo à vendre,Aveo,Manuelle,,Chevrolet,,2017,Essence,,Berline,,,,1.2L
"Cause échange 
Voiture Suzuki celerio non populaire a vendre",https://www.tayara.tn/item/voitures/nabeul/hammamet/suzuki-celerio-non-populaire-a-vendre/6a143fc42257200009cc7a0b/,,27500,,Gris,4,140,,,Avec kilométrage,Suzuki celerio non populaire A vendre,Celerio,Manuelle,,Suzuki,,2017,Essence,,Compacte,,,,<1.0L
"Une société met en vente une Peugeot 301 à boîte automatique, en très bon état et très bien entretenue.",https://www.tayara.tn/item/voitures/la-manouba/la-manouba/voiture/6a13ff3de853e69bec070cba/,,26998,,Gris,7,346.263,,,Avec kilométrage,voiture,301,Automatique,,Peugeot,,2013,,,,,,,
"🔹Voiture première main
🔹 Entretien suivi et historique complet disponible
🔹 Véhicule très propre intérieur / extérieur
🔹 Jamais accidentée

Options et équipements :
✅ Toit panoramique ouvrant
✅ Feux Full LED
✅ Caméra de recul
✅ Radar avant et arrière
✅ Bluetooth / commandes au volant
✅ Climatisation automatique
✅ Jantes alu
✅ Vitres électriques
✅ Régulateur / limiteur de vitesse

Voiture très agréable à conduire, économique et fiable.
Toujours entretenue à temps avec grand soin. Aucun frais à prévoir.
Idéale pour quelqu’un qui cherche une voiture moderne, élégante et prête à rouler.
⚠️ Curieux et non sérieux merci de s’abstenir.
📍 Visible sur rendez-vous
📞 Contact :",https://www.tayara.tn/item/voitures/sousse/sahloul/-vendre-seat-leon-style-12-tsi-premire-main-parfait-tat/6a1423c6e853e69bec071c5d/,,59500,,Gris,6,120800,,,Avec kilométrage,À vendre – SEAT Leon Style 1.2 TSI – Première main – Parfait état,Leon,Manuelle,,Seat,,2017,Essence,,Berline,,,,1.2L
"Afficher le numéro
VOITURE PEUGEOT 301 ACTIVE

 PREMIÈRE MAIN TRÈS PROPRE 

VOITURE A L'ÉTAT ORIGINE JAMAIS

 TOUCHÉE OU RETOUCHÉE PEINTURE

 D'ORIGINE 

4 VITRES ÉLECTRIQUES 

DISPONIBLE A ARIANA",https://www.tayara.tn/item/voitures/ariana/ariana/peugeot-301-premire-main-en-excellent-tat-bote-manuelle/6a1406012257200009cc5f76/,,34500,,Gris,5,87000,,,Avec kilométrage,PEUGEOT 301 PREMIÈRE MAIN EN EXCELLENT ÉTAT BOÎTE MANUELLE,301,Automatique,,Peugeot,,2023,Essence,,Berline,,,,1.2L
"Voiture importée
Première main
Toutes options",https://www.tayara.tn/item/voitures/sousse/kantaoui/fiat-500-hybrid/6a13f475e853e69bec070974/,,48500,,Gris,4,90000,,,Avec kilométrage,Fiat 500 Hybrid,500,Manuelle,,Fiat,,2021,Hybride essence,,Compacte,,,,1.1L
tout ops 4vitres électriques écran tactile clim glasse camérta de. recule voiture neuve très bien entretenu,https://www.tayara.tn/item/voitures/mahdia/chorbane/kia-rio-origine-a-2021-tel-23414111/6a1424f02257200009cc6d0e/,,0,,Gris,5,140,,,Nouveau,Kia Rio origine a 2021 tel 23414111,Rio,Manuelle,,Kia,,2021,Essence,,Berline,,,,1.4L
"⚡ Cause de départ a vendre Voiture d'une 👰‍♀️ toute options comme neuve avec faible kilométrage de 80000 km
⚡Climatronic 
⚡Fermeture centralisée.
 ⚡Ouverture par empreinte au niveau les deux porte avant et manne 
⚡Clé intelligent 
⚡Ordinateur de bord 
✨✨Système de sécurité automatique 
⚡Système d'alarme 
⚡ABS
⚡Phares led
⚡Jantes alu
Calandre chromé
Manne chromé 
⚡Chaîne moteur en métal
⚡Sallon cuir signé BYD
⚡Moteur très puissant 4 cylindres atmosphérique*
b.vitesse manuelle 
⚡Sous pieds couvert en cuir ⚡Consommation très économique
⚡ 
Prix Négociable sur place",https://www.tayara.tn/item/voitures/tunis/tunis/byd-f3/6a142e1c2257200009cc71c6/,,34500,,Noir,7,67000,,,Nouveau,BYD f3,F3,Manuelle,,BYD,,,Essence,,Compacte,,,,1.5L
"Voiture 106 à vendre en bonne état ndhayfa w mta3 kssiba awrakha elkoll khalssa w visite jdida, disponible à Moknine pour plus d'informations contacter :
Afficher le numéro",https://www.tayara.tn/item/voitures/monastir/moknine/peugeot-106/6a141a66e853e69bec0717af/,,0,,Rouge,4,280000,,,Avec kilométrage,Peugeot 106,106,Manuelle,,Peugeot,,1993,Essence,,Autres,,,,>4.0L
"a vendre GOLF 8 style 1.5 e tsi 50km voiture neuf. 150 C V D .💯 𝗙𝗨𝗟𝗟 𝗢𝗣𝗧𝗜𝗢𝗡𝗦 💯:tel :
Afficher le numéro",https://www.tayara.tn/item/voitures/ben-arous/autres-villes/golf-8-style-bva-15-e-tsi-50km-tu-254-/6a142b9c2257200009cc7092/,,0,,Noir,8,50,,,Nouveau,GOLF 8 style BVA 1.5 e tsi 50km tu 254 تسجيل أول,Golf 8,Automatique,,Volkswagen,,2021,Essence,,Autres,,,,1.5L
